place,particular_place,lat_dd,long_dd
"Cape Horn, Chile",Cape Horn,-55.98,-67.29
"Taj Mahal, India",Taj Mahal,27.175,78.042
"Statue of Liberty, United States",Statue of Liberty,40.689,-74.044
"Machu Picchu, Peru",Machu Picchu,-13.16,-72.55
"Colosseum, Italy",Colosseum,41.89,12.49
"Christ the Redeemer (statue), Brazil",Christ the Redeemer (statue),-22.95,-43.21
"Chichen Itza, Mexico",Chichen Itza,20.683056,-88.568611
"Acropolis of Athens, Greece",Acropolis of Athens,37.971667,23.726111
"Sydney Opera House, Australia",Sydney Opera House,-33.857058,151.214897
"Svalbard Global Seed Vault, Norway",Svalbard Global Seed Vault,78.24,15.49
"Stonehenge, England",Stonehenge,51.179,-1.826
"Potala Palace, China",Potala Palace,29.658,91.117
"Golden Gate Bridge, United States",Golden Gate Bridge,37.82,-122.48
